task_id,arrival_time_min,cpu_demand_pct,duration_min,latency_sla_min,node_id,queue_wait_min,start_time_min,end_time_min,completion_latency_min,migrated,sla_breached
0,1.325932710663873,9.628684762026435,21.125370690788728,6.21333509135472,0,0.0,1.325932710663873,22.451303401452602,21.125370690788728,False,False
1,2.9056430350028086,18.10152167697087,8.008370838946817,3.859700506072453,1,0.0,2.9056430350028086,10.914013873949626,8.008370838946817,False,False
2,5.497503045186936,33.75677639724336,15.504496234401206,6.479146590752004,2,0.0,5.497503045186936,21.00199927958814,15.504496234401206,False,False
3,8.582331333012286,11.889680899965658,5.691022098022589,5.743610715290003,3,0.0,8.582331333012286,14.273353431034876,5.691022098022589,False,False
4,11.40057731182291,6.661862274927803,6.889961186203875,1.3736735283902277,1,0.0,11.40057731182291,18.290538498026784,6.889961186203873,False,False
5,11.676437036398575,10.444952287895722,8.628856390923088,2.745713030825483,4,0.0,11.676437036398575,20.305293427321665,8.62885639092309,False,False
6,11.940807016608773,32.74525607054186,4.775167964236514,6.905024661184269,5,0.0,11.940807016608773,16.71597498084529,4.775167964236516,False,False
7,17.204776154188778,18.6295388552524,25.111186313496994,3.067513177408629,3,0.0,17.204776154188778,42.31596246768577,25.111186313496994,False,False
8,17.954661229709387,5.162895023861013,3.44642167640317,5.241476243534094,5,0.0,17.954661229709387,21.401082906112556,3.446421676403169,False,False
9,19.13562994918297,11.053463321571662,5.497863020558006,4.531716931350905,1,0.0,19.13562994918297,24.633492969740978,5.4978630205580075,False,False
10,26.255002083095725,32.8238137551208,14.549805191192402,3.152745506945503,0,0.0,26.255002083095725,40.80480727428812,14.549805191192398,False,False
11,26.30025146573154,13.340663198024416,21.684937039568993,5.436388411484841,1,0.0,26.30025146573154,47.985188505300535,21.684937039568993,False,False
12,27.78438176001652,28.320293825875357,15.711592770873365,7.8987811864644835,2,0.0,27.78438176001652,43.49597453088988,15.711592770873363,False,False
13,28.531780868132266,16.181070239202025,3.3635572247878356,1.764976037801906,4,0.0,28.531780868132266,31.895338092920102,3.3635572247878365,False,False
14,28.930564848964547,20.438880263490496,20.96404718220312,1.2072510239002925,5,0.0,28.930564848964547,49.89461203116767,20.96404718220312,False,False
15,32.48183963283449,12.381998345148155,3.834852149714708,4.185824896882337,4,0.0,32.48183963283449,36.3166917825492,3.834852149714706,False,False
16,32.72623989894872,8.362111129960926,26.157407784744585,1.008631437583357,6,0.0,32.72623989894872,58.883647683693304,26.157407784744585,False,False
17,33.605807395776395,10.649659244340555,2.8759383612460474,1.7744062729354229,7,0.0,33.605807395776395,36.481745757022445,2.8759383612460496,False,False
18,34.32418070632282,30.601083780271,19.335334419955274,2.1392044027347032,8,0.0,34.32418070632282,53.659515126278094,19.335334419955274,False,False
19,35.205010290823,15.394359662215427,2.5329561388896242,2.1584143030724254,9,0.0,35.205010290823,37.73796642971262,2.532956138889624,False,False
20,36.10910165366308,34.792537457915195,18.369887355756635,1.888369828629592,10,0.0,36.10910165366308,54.47898900941972,18.36988735575664,False,False
21,36.47372446080311,22.83702826672593,10.253145409677364,5.645347326622463,4,0.0,36.47372446080311,46.72686987048048,10.253145409677366,False,False
